output_path,output_size,output_entropy,output_sha256,input_size,size_delta,timestamp
/tmp/catalyst-output/seed_icc_perm01_DCI(P3) RGB_001.png,14596,7.9770,bc9c770844d1bbe4133afdcd28364eec126f8ba22158746ce376bef4c820d12c,13618,978,2026-03-23 06:25:40
/tmp/catalyst-output/seed_perm01_001.png,13618,7.9779,369c6f51e33a910102dfca1371dc218e3caa6300665b23214132f82f9180f2ff,,,2026-03-23 06:25:40
/tmp/catalyst-output/seed_icc_perm03_ACESCG Linear_002.png,58226,7.9921,252a537a688f4d4a03ba39542f1c968d17a78c02f2ef8ad51093beb63e185aff,53782,4444,2026-03-23 06:25:40
/tmp/catalyst-output/seed_perm03_002.png,53782,7.9935,a7a05a7f484279b0350b91333c7724d49a62ad857a066289e5e9bea3ac013d8e,,,2026-03-23 06:25:40
/tmp/catalyst-output/seed_icc_perm04_Generic CMYK Profile_003.png,215452,7.9955,8e501e5d5c032ee29b3ff0054c5dca51587ef4553713f2689191d8049e499f40,215440,12,2026-03-23 06:25:40
/tmp/catalyst-output/seed_perm04_003.png,215440,7.9955,ccd9cbb400fe656af34459791304481bafdd8a1b31a3322d873b7140b109a318,,,2026-03-23 06:25:40
/tmp/catalyst-output/seed_icc_perm06_ITU-709_004.png,66338,7.9941,508232afaf55dc403b8f875462be413d442fce6e63224d3c66309638fb1f1a79,66101,237,2026-03-23 06:25:40
/tmp/catalyst-output/seed_perm06_004.png,66101,7.9939,4874531ffb7d3b7e007af0cffd06cdd692fb202b56fdc9f46944cf133bdb022f,,,2026-03-23 06:25:41
/tmp/catalyst-output/seed_icc_perm07_Generic RGB Profile_005.png,67266,7.9923,e731aac12e73e92443c02c002ab27fb55a9f25cfa9c2ecd8d1fa5b583bde3b2b,65825,1441,2026-03-23 06:25:41
/tmp/catalyst-output/seed_perm07_005.png,65825,7.9937,4731917c8df890cf36c120c6cb049d4ac2fe0b5d1235bdcd101fd0553acb726c,,,2026-03-23 06:25:41
/tmp/catalyst-output/seed_icc_perm08_ITU-2020_006.png,4232,7.9386,854f85a61b1c694a4a7ffadd0ff828d7ba61f0233754c173482aa49cafa08fbb,3545,687,2026-03-23 06:25:41
/tmp/catalyst-output/seed_perm08_006.png,3545,7.9144,0a62470b0cff2515a7e2ba7584be7283a7637abaf24947ac7a5af8c2fe9eb1df,,,2026-03-23 06:25:41
/tmp/catalyst-output/seed_icc_perm09_sRGB Profile_007.png,862988,7.9955,d2838c1696eb34253cfb8e1d2ffd4739ffa2b6aac394d119580b88fd566606e6,862976,12,2026-03-23 06:25:42
/tmp/catalyst-output/seed_perm09_007.png,862976,7.9955,c3e4ba6dc25b343384102c571887695416159cbbb6bd7e26de2493100d51f467,,,2026-03-23 06:25:44
/tmp/catalyst-output/seed_icc_perm10_Generic Gray Profile_008.png,31663,7.9897,3cbd82fd32ae9ff9974828a154bdda21855418b80549f110324868acb0b406aa,31651,12,2026-03-23 06:25:45
/tmp/catalyst-output/seed_perm10_008.png,31651,7.9897,b39db0944d6c1eda738e05b7afc59af7de126e06a98b1d11e4282cd4ac43fd80,,,2026-03-23 06:25:45
/tmp/catalyst-output/seed_icc_perm11_Generic Gray Gamma 2.2 Profile_009.png,84183,7.9953,5c476dc0fd8be9e94947cb1a9101087a8618b2e309c70bcfc128b71ec27aa964,84171,12,2026-03-23 06:25:45
/tmp/catalyst-output/seed_perm11_009.png,84171,7.9953,06ac94a1b221a11c1df235d56a75510d09036392622a567c3b6c00aefeea1e11,,,2026-03-23 06:25:45
/tmp/catalyst-output/seed_icc_perm12_ROMM RGB_010.png,32702,7.9876,c58d5e65d68128dd6168795e93f4fdb233afd1d63d3bd0b7ba6c49fe45a95e73,30313,2389,2026-03-23 06:25:45
/tmp/catalyst-output/seed_perm12_010.png,30313,7.9886,6e2442c785ab78069b5a17ed20cb2ab1feeae1c6730628da83cab7111fc6a35f,,,2026-03-23 06:25:45
/tmp/catalyst-output/seed_icc_perm01_Generic Lab Profile_011.png,1056,7.6224,100362690ffa29055513d11aacfab4a99f725e8cb6634eb2a5fc0f93ac10b38a,1044,12,2026-03-23 06:25:45
