output_path,output_size,output_entropy,output_sha256,input_size,size_delta,timestamp
/tmp/catalyst-output/seed_icc_perm01_DCI(P3) RGB_001.png,14555,7.9759,f310be855864b21459edc1e17fa36b596dd5f86392b1d97a5ec9092c2d8a5bce,13575,980,2026-03-08 00:13:02
/tmp/catalyst-output/seed_perm01_001.png,13575,7.9786,610a39eb49286a475e11ac169a91d65e3c45709f4dab4de6394d57b4119cf284,,,2026-03-08 00:13:02
/tmp/catalyst-output/seed_icc_perm03_ACESCG Linear_002.png,58453,7.9927,063081b46cebec64f4bf022c06b27a0fe4053e1eaae4084fb07d93b9e9caef17,53995,4458,2026-03-08 00:13:02
/tmp/catalyst-output/seed_perm03_002.png,53995,7.9925,7a35521bbcd6390101e18c953d3d4a39e5f1c2685990f417b325aa7cda6b20c1,,,2026-03-08 00:13:02
/tmp/catalyst-output/seed_icc_perm04_Generic CMYK Profile_003.png,215721,7.9956,b4b426e9e47af2ffe601e64463fc990e9e04a678c91a80d850badec6f654efd8,215709,12,2026-03-08 00:13:02
/tmp/catalyst-output/seed_perm04_003.png,215709,7.9956,eacbc8c621d0810f16dc8ae2c57c472b0eb8e05b92d0e94273cfe97abee77f2e,,,2026-03-08 00:13:02
/tmp/catalyst-output/seed_icc_perm06_ITU-709_004.png,66169,7.9948,4f34fff0ae84cb52cdbc44b5a7bee034d88c496f22c862ea03d66a6ccc6112eb,65974,195,2026-03-08 00:13:02
/tmp/catalyst-output/seed_perm06_004.png,65974,7.9943,cbb4640d9c3761b3ca4e3ea3334ba985099c1345551fd5247a7e74c176699ae8,,,2026-03-08 00:13:03
/tmp/catalyst-output/seed_icc_perm07_Generic RGB Profile_005.png,67166,7.9924,4cbe69513668c0d4d30fa3c03215d7525707a8c0ac352f203fc27abb0da405e7,65758,1408,2026-03-08 00:13:03
/tmp/catalyst-output/seed_perm07_005.png,65758,7.9944,823fb4430e40535e05c5f95a7aa2d2af15b645caa24262c0ee14a93583303eaa,,,2026-03-08 00:13:03
/tmp/catalyst-output/seed_icc_perm08_ITU-2020_006.png,4225,7.9367,4b4a95010225cb78f0533e4c877bd5762401a87cc4e2fa11e46ce8359835c4ec,3505,720,2026-03-08 00:13:03
