output_path,output_size,output_entropy,output_sha256,input_size,size_delta,timestamp
/tmp/catalyst-output/seed_icc_perm01_DCI(P3) RGB_001.png,14558,7.9771,801f8dcfee3144f1cfb4d8a26f1d2b4ecac673f3044ab20a759eff22cc2b7510,13544,1014,2026-04-01 17:40:10
/tmp/catalyst-output/seed_perm01_001.png,13544,7.9805,f8c8bac81f736bc600b52e6906e5b27ad2abb9c3ece88c70fcb89f6b761baeaa,,,2026-04-01 17:40:10
/tmp/catalyst-output/seed_icc_perm03_ACESCG Linear_002.png,58473,7.9917,abd21bdde7ccf023ab1348508a2039f020997655b5ffb73eb3bbc6f16e9e1ff4,54054,4419,2026-04-01 17:40:10
/tmp/catalyst-output/seed_perm03_002.png,54054,7.9932,4ba38d45b4471e543f4042dcd2d4f3d73181d488878a71abc2f964dc3aaed6f1,,,2026-04-01 17:40:11
/tmp/catalyst-output/seed_icc_perm04_Generic CMYK Profile_003.png,215555,7.9951,ff0bdb89b12b5dfbed67688952cb91629ee7743e4aa35a7ba444b3b376cde0c4,215543,12,2026-04-01 17:40:11
/tmp/catalyst-output/seed_perm04_003.png,215543,7.9951,8820bb68e64856f133a4b6bec2dbf7d5873444a9721ae6c271443c80f03d1a16,,,2026-04-01 17:40:11
/tmp/catalyst-output/seed_icc_perm06_ITU-709_004.png,66139,7.9951,687dc1505bb33e3591320f26b47e66a46d20dfa1af77deff711bb2e56f8f4bcc,65883,256,2026-04-01 17:40:11
/tmp/catalyst-output/seed_perm06_004.png,65883,7.9942,ac5066e734f6f1aa9e7f579b0d99b32596864d359976f49d451eee44b4889d74,,,2026-04-01 17:40:11
/tmp/catalyst-output/seed_icc_perm07_Generic RGB Profile_005.png,67458,7.9929,a724476aa75188fc1bbcbcc41a466586df2765675ebcd4b09b6e826f5e1946e7,65993,1465,2026-04-01 17:40:11
/tmp/catalyst-output/seed_perm07_005.png,65993,7.9940,43d407429bebfffb88ea5afc6327e898097b219be1ed5742d728e0e23185baf3,,,2026-04-01 17:40:11
/tmp/catalyst-output/seed_icc_perm08_ITU-2020_006.png,4212,7.9287,17275691e079e882825f5b2b51a706d39d927f303c531ba021819c4179f8017e,3546,666,2026-04-01 17:40:11
/tmp/catalyst-output/seed_perm08_006.png,3546,7.9213,772b78cc5cfcc9f56ec20b79e5d55ad1f1989215c9dccd6cf9ad13fc294f8093,,,2026-04-01 17:40:11
/tmp/catalyst-output/seed_icc_perm09_sRGB Profile_007.png,861218,7.9956,fecabff194e69f34fc858b7da348829aafd3931de14232643af0c10d113271a8,861206,12,2026-04-01 17:40:12
/tmp/catalyst-output/seed_perm09_007.png,861206,7.9956,fc81fe4333283c71903b7c7a47541f9aa7ebb259f89108e1d6a009f440bc86fa,,,2026-04-01 17:40:14
/tmp/catalyst-output/seed_icc_perm10_Generic Gray Profile_008.png,31703,7.9885,55be9c1f62291266cf56e12443703f9a6d05d1abae3f4d11887270439a6c63f6,31691,12,2026-04-01 17:40:14
/tmp/catalyst-output/seed_perm10_008.png,31691,7.9885,32aa8d3e2c69b420e863aa4a8ed372ce92e824a10064b342ffe146bd072d0841,,,2026-04-01 17:40:14
/tmp/catalyst-output/seed_icc_perm11_Generic Gray Gamma 2.2 Profile_009.png,84648,7.9943,7b47adf2c2af8853a6d0b3849b7601ed825bc87dfa0f62b2d95c394405269481,84636,12,2026-04-01 17:40:14
/tmp/catalyst-output/seed_perm11_009.png,84636,7.9943,572a832cfac7694d61172b673540c7449dd0a42680c0712bd22cb3c2918c1fa4,,,2026-04-01 17:40:15
/tmp/catalyst-output/seed_icc_perm12_ROMM RGB_010.png,32862,7.9903,1650e8133b1eec2ddec2c3d355db747dcf10ea76f24de4ed6300e52b7c9be382,30422,2440,2026-04-01 17:40:15
/tmp/catalyst-output/seed_perm12_010.png,30422,7.9884,752424b66cf6d1aaef37b3cdbad5ac11cd3305462b267a8e04e4af1f627280dc,,,2026-04-01 17:40:15
/tmp/catalyst-output/seed_icc_perm01_Generic Lab Profile_011.png,1063,7.6176,285ad88f5c1f84cf5969ceadab4354f6dcf0cc0fbf696938774ed1ff68a8e8bc,1051,12,2026-04-01 17:40:15
/tmp/catalyst-output/seed_perm01_011.png,1051,7.6456,f68e251fa0f93fac36c02e213e6080d4b3fb76144da657af9f7eb9d3c9a0b568,,,2026-04-01 17:40:15
/tmp/catalyst-output/seed_icc_perm05_Generic XYZ Profile_012.png,2093,7.8446,e643ab1c08db39a7626182301663a46173fcea8d358f73512a22d36810559ebe,2081,12,2026-04-01 17:40:15
/tmp/catalyst-output/seed_perm05_012.png,2081,7.8559,b6b40dc724b6c06c845abbf70c3dc9812f37fb1ba954364ec19825a51a27f16e,,,2026-04-01 17:40:15
/tmp/catalyst-output/seed_icc_perm02_AdobeRGB1998_013.png,2309,7.8671,68fd846fc2f7629f6ec262ce3ca9e991eb7f255ed427801569e469846c316ef6,1898,411,2026-04-01 17:40:15
/tmp/catalyst-output/seed_perm02_013.png,1898,7.8280,61058b63958857bc3a66232b4b6a25664813a65d0ea56f751409499760df05ed,,,2026-04-01 17:40:15
/tmp/catalyst-output/seed_icc_perm04_Display P3_014.png,2383,7.8775,3e7b6299dfef08fca5c2de66579e474118c4f14deb8d58d60b014bf00e98aa99,1839,544,2026-04-01 17:40:15
/tmp/catalyst-output/seed_perm04_014.png,1839,7.8238,4a1a4a8c54df4c6d791699e07761801199bb00ac78b7ffa3b9c56cdc494a0ccd,,,2026-04-01 17:40:15
/tmp/catalyst-output/seed_icc_perm13_DCI(P3) RGB_015.png,8436,7.9636,c9b5287c3974128561a028128e5fe5355febf06a8ffc3346fd2daa6fc441f06d,7683,753,2026-04-01 17:40:15
/tmp/catalyst-output/seed_perm13_015.png,7683,7.9720,1d3912f8b62ace1fcb92557b39ddddf397cc1fe8fa447dba30e041c5b170231f,,,2026-04-01 17:40:15
/tmp/catalyst-output/seed_icc_perm14_ACESCG Linear_016.png,7876,7.9624,f52edff1dd7fc9daeea4f3a16507d705f02f9fea03f24fa332f84ec0433e6db2,6861,1015,2026-04-01 17:40:15
/tmp/catalyst-output/seed_perm14_016.png,6861,7.9652,d4c8c421f79391c8c8bac178717fe52322da82fffaa68966b3223ea6aa5e84d1,,,2026-04-01 17:40:15
/tmp/catalyst-output/seed_icc_perm15_Generic CMYK Profile_017.png,6859,7.9592,8ef82ab4f867890fa3db45774cf7b2b5811530b38b315ec2663554bf15510a17,6847,12,2026-04-01 17:40:15
/tmp/catalyst-output/seed_perm15_017.png,6847,7.9610,17e95acfa8b26e1ac653aac6a5bd1dba90c6e01b388f1deaf4c23bed0d88b1db,,,2026-04-01 17:40:15
/tmp/catalyst-output/seed_icc_perm16_ITU-709_018.png,27398,7.9879,45333db97596eef206e2d549da878bcb2712d122dbef994938b2dcb3adc89987,27084,314,2026-04-01 17:40:15
/tmp/catalyst-output/seed_perm16_018.png,27084,7.9867,bb95eec140e398471713a303d5c8ca93dc7f66ce9adcdcce5b3d212f20a0c597,,,2026-04-01 17:40:15
/tmp/catalyst-output/seed_icc_perm17_Generic RGB Profile_019.png,28379,7.9884,44104b2f10ccb7674dc1005b954ef0029e463cf905e6713d459cb55f6fabe80e,27183,1196,2026-04-01 17:40:15
/tmp/catalyst-output/seed_perm17_019.png,27183,7.9875,1dab036befab04e8354911c852221a22e8404c25d63d9e85328d586e11006405,,,2026-04-01 17:40:15
