output_path,output_size,output_entropy,output_sha256,input_size,size_delta,timestamp
/tmp/catalyst-output/seed_icc_perm01_DCI(P3) RGB_001.png,14535,7.9765,bf63e6ac98273d1f7599ae9355965fdbf705a0ca98c208bd735eac54cb6d2d85,13536,999,2026-03-09 06:22:33
/tmp/catalyst-output/seed_perm01_001.png,13536,7.9772,3d965af0dae10e857e6833c14aad7462563432bb8d31ca0f990e9f9651b4b604,,,2026-03-09 06:22:33
/tmp/catalyst-output/seed_icc_perm03_ACESCG Linear_002.png,58412,7.9934,bf3adbd3962ba7e819a12e3256db2162bc39466cf68e8883c53b1182a0e9270b,54017,4395,2026-03-09 06:22:33
/tmp/catalyst-output/seed_perm03_002.png,54017,7.9926,68a8e53211c4e0d846066914a6774796d67ef483cbae849887167a0959ccc15f,,,2026-03-09 06:22:33
/tmp/catalyst-output/seed_icc_perm04_Generic CMYK Profile_003.png,215541,7.9957,7508e56210a9ec65295dfc918263860d00d83e011cb71e22d88e26f5ec79a76e,215529,12,2026-03-09 06:22:34
/tmp/catalyst-output/seed_perm04_003.png,215529,7.9957,32639e2b98c6d39f415c028d956a7f1f84b734e02244b79c126d274fecd14950,,,2026-03-09 06:22:34
/tmp/catalyst-output/seed_icc_perm06_ITU-709_004.png,66302,7.9951,22cf184c1abf1570fb6f188c853c816c60adf5a3f8286e93479fa0854d0ba639,66061,241,2026-03-09 06:22:34
/tmp/catalyst-output/seed_perm06_004.png,66061,7.9934,48cd20ade7d3c2100d1653d7ecad787a64d4a8c37c4649b267e9ed6e97974731,,,2026-03-09 06:22:34
/tmp/catalyst-output/seed_icc_perm07_Generic RGB Profile_005.png,67505,7.9932,44c70ecf80abacaaf85046e001149b34b1e557fe18bf05f0e532faba75da3186,66072,1433,2026-03-09 06:22:34
/tmp/catalyst-output/seed_perm07_005.png,66072,7.9938,18c73d2f510708b82aba2dc24332d7864d90162317ed5debfd1aaa722fa69eab,,,2026-03-09 06:22:34
/tmp/catalyst-output/seed_icc_perm08_ITU-2020_006.png,4176,7.9366,424355bf6d84bd98f012be9a3820391e082ff53056d613f5ac34a6e3e9dd2fdb,3479,697,2026-03-09 06:22:34
/tmp/catalyst-output/seed_perm08_006.png,3479,7.9068,c9e5fe386484194bc9aaef0de7c553b6fa38ebd148c74689c89006e880ade182,,,2026-03-09 06:22:34
/tmp/catalyst-output/seed_icc_perm09_sRGB Profile_007.png,861636,7.9956,d1f82c3bba5ee7347f5150e6e767f86ec85776e56a560f10bbb49e55ff515733,861624,12,2026-03-09 06:22:34
/tmp/catalyst-output/seed_perm09_007.png,861624,7.9956,ad69ffa1e4c2f2bb9df2b9475d5a8dd89337957e0ca9ab6533f2f560663aa20c,,,2026-03-09 06:22:36
/tmp/catalyst-output/seed_icc_perm10_Generic Gray Profile_008.png,31664,7.9907,b4dbb66efdb2702ab3efa11f75555ee27eb6c36c8250cef655a8d67c0da92fc6,31652,12,2026-03-09 06:22:36
