output_path,output_size,output_entropy,output_sha256,input_size,size_delta,timestamp
/tmp/catalyst-output/seed_icc_perm01_DCI(P3) RGB_001.png,14597,7.9771,239f561ccc2607cc025a9fd9049aa51f0a5f879a27e966bd0eec0f68480006de,13635,962,2026-04-13 06:45:02
/tmp/catalyst-output/seed_perm01_001.png,13635,7.9765,1d853f220e30f33fd9067c5eca92183259cf119ca86713d12034dd46998ea51a,,,2026-04-13 06:45:02
/tmp/catalyst-output/seed_icc_perm03_ACESCG Linear_002.png,58196,7.9920,b3754960cecea49c5f1144052452c23dde223b37a1c63a1c48329eef64295147,53770,4426,2026-04-13 06:45:02
/tmp/catalyst-output/seed_perm03_002.png,53770,7.9930,215c8b585a15bdd37f64ae23832cf9a59423568dfadfc88dd050652b481440a9,,,2026-04-13 06:45:02
/tmp/catalyst-output/seed_icc_perm04_Generic CMYK Profile_003.png,215833,7.9953,771f8910c9a061c4103a9ce61d8486ab1d3a9a715bcba1e0595b2c9ec6ff6883,215821,12,2026-04-13 06:45:02
/tmp/catalyst-output/seed_perm04_003.png,215821,7.9953,497fc3289db79790f704818847e360351f4a40d4a130981319377e33d9f1de7b,,,2026-04-13 06:45:02
/tmp/catalyst-output/seed_icc_perm06_ITU-709_004.png,66313,7.9940,7f9a619ac79418d08e75ac46fbff52b5483305273cdfce0d0b3a4a1d95682b2b,66065,248,2026-04-13 06:45:02
/tmp/catalyst-output/seed_perm06_004.png,66065,7.9935,25f4c5f757a17e3d5b5902a5da0fa197c0640fda8797c2f3adcd0d051bf6160c,,,2026-04-13 06:45:03
/tmp/catalyst-output/seed_icc_perm07_Generic RGB Profile_005.png,67518,7.9937,2a06a8ae80ef3791513c1304857cbcc04e67a0a5f72c54e2bd449f8532033e5e,66076,1442,2026-04-13 06:45:03
/tmp/catalyst-output/seed_perm07_005.png,66076,7.9934,68f207b36bc932818ada18fb7df4d1054dba8198223d83bace38ca7870d177a8,,,2026-04-13 06:45:03
/tmp/catalyst-output/seed_icc_perm08_ITU-2020_006.png,4170,7.9310,c40a8da1784d8d672cbd549d785972d8801405438096cb26e602f64aedb091f0,3514,656,2026-04-13 06:45:03
/tmp/catalyst-output/seed_perm08_006.png,3514,7.9269,0ca2bd4dbe3c06ad31a02614fcced9ae835d5ae118272c33417ea178dc0b730a,,,2026-04-13 06:45:03
/tmp/catalyst-output/seed_icc_perm09_sRGB Profile_007.png,861877,7.9955,0ce953e0fb89348ecd12a4e92e576f9abb8e7346d42a3f7b2c98b7719f8f5a0c,861865,12,2026-04-13 06:45:03
/tmp/catalyst-output/seed_perm09_007.png,861865,7.9955,cdf2ccdc0419d16e2ed4572cc04fc24e99655ff14dc248242df574ee7b354f32,,,2026-04-13 06:45:06
/tmp/catalyst-output/seed_icc_perm10_Generic Gray Profile_008.png,31815,7.9897,32b156d6588039c901800ecc237685686ba6becde9c71a1ac5b022f4b3c0a5e3,31803,12,2026-04-13 06:45:06
/tmp/catalyst-output/seed_perm10_008.png,31803,7.9897,21256d8086db1c8c36d2219b692a4575cf82d8a3d0969bd2694cc41ee85a0c01,,,2026-04-13 06:45:06
/tmp/catalyst-output/seed_icc_perm11_Generic Gray Gamma 2.2 Profile_009.png,84540,7.9947,28aac63a8249e4cca121904e881abd9c5d3f16adb150c49a2bf13df71f08a974,84528,12,2026-04-13 06:45:06
/tmp/catalyst-output/seed_perm11_009.png,84528,7.9947,fafbd4fc976d12aab502a7c6297bab1d989ae4b81a753dbee7ed911b42a3e6ba,,,2026-04-13 06:45:06
/tmp/catalyst-output/seed_icc_perm12_ROMM RGB_010.png,32902,7.9893,8426877f3f15bc45342f9e61913b58bb8dc001f1a13a1fac5a1dac4742df03d6,30406,2496,2026-04-13 06:45:06
/tmp/catalyst-output/seed_perm12_010.png,30406,7.9897,434320e72172cde2c1618da0896409ee0b1de30bce3b63c0e54e9f1349a2dca4,,,2026-04-13 06:45:06
/tmp/catalyst-output/seed_icc_perm01_Generic Lab Profile_011.png,1014,7.5846,eef72937118e039f2db950445a9de409b9b802ee346c73832b4ad8553e4fe9e8,1002,12,2026-04-13 06:45:06
/tmp/catalyst-output/seed_perm01_011.png,1002,7.6163,2c12a3e6cf3fbe9cdc199386f638ff18fb23626c28449e3d224ff1af2775f96d,,,2026-04-13 06:45:06
/tmp/catalyst-output/seed_icc_perm05_Generic XYZ Profile_012.png,2055,7.8320,aaeb994342f0bc0cc6abf37dec9667feb499a3f2030272487b609f4f0b5c5e16,2043,12,2026-04-13 06:45:06
/tmp/catalyst-output/seed_perm05_012.png,2043,7.8445,f16e44bb458d091bbafacef5919f202cab29bdd914e2b2de71f68fca95fbf819,,,2026-04-13 06:45:06
/tmp/catalyst-output/seed_icc_perm02_AdobeRGB1998_013.png,2278,7.8497,aaa0dc9ede597e21015b0069ca8bca4f3d0e9509139e7f0f7879bde2224ed2cb,1898,380,2026-04-13 06:45:06
/tmp/catalyst-output/seed_perm02_013.png,1898,7.8388,52efd4dc6bdfd568cc9fd451e4551e950ea7466981c99cfc33041de7ad80b2d1,,,2026-04-13 06:45:06
/tmp/catalyst-output/seed_icc_perm04_Display P3_014.png,2375,7.8571,314a517f77835b7b70501f2bcc0461965aa9c949f48bfbd54a48d4120e0e1c83,1861,514,2026-04-13 06:45:06
/tmp/catalyst-output/seed_perm04_014.png,1861,7.8168,f3c5d67036a026e9f67e37323f8559887a9e0d0142f58974c63404999b5bfd31,,,2026-04-13 06:45:06
/tmp/catalyst-output/seed_icc_perm13_DCI(P3) RGB_015.png,8480,7.9659,6d032197f406c044f642122de1287a50043bf379cbe5a92d374b73498daae1de,7682,798,2026-04-13 06:45:06
/tmp/catalyst-output/seed_perm13_015.png,7682,7.9689,b5abb4ac7f7fbdff339d7d39b659056370b058132a70c3b624aca563659b9a99,,,2026-04-13 06:45:06
/tmp/catalyst-output/seed_icc_perm14_ACESCG Linear_016.png,7949,7.9578,e002f56990e7346e3b67147a8685c71fb5e00fb6ece427bb8b9ef57cd43c5399,6906,1043,2026-04-13 06:45:06
/tmp/catalyst-output/seed_perm14_016.png,6906,7.9638,10470e02c66a663490dcf7e07073f523d60fa0e562d13cf02f775374bb74a4bb,,,2026-04-13 06:45:06
/tmp/catalyst-output/seed_icc_perm15_Generic CMYK Profile_017.png,6837,7.9581,3a80c135005e7369d0d215c6622b4a989cff421b63d758700f559f2eccb62a05,6825,12,2026-04-13 06:45:07
/tmp/catalyst-output/seed_perm15_017.png,6825,7.9598,eb0eea1e781476077280cae8d3b15304034dee0c99fb3d3d9f463b120fc32ba0,,,2026-04-13 06:45:07
/tmp/catalyst-output/seed_icc_perm16_ITU-709_018.png,27295,7.9886,88f4abd64ac6acd3a60a10bdabaf2057ae31789b6ce2726036c034dfef3dccf9,27018,277,2026-04-13 06:45:07
/tmp/catalyst-output/seed_perm16_018.png,27018,7.9866,e4993cf09267900291ca1bff1cf6bcce06f89cf7f1e7f0387f65e07a6ca1c326,,,2026-04-13 06:45:07
/tmp/catalyst-output/seed_icc_perm17_Generic RGB Profile_019.png,28314,7.9885,ad440c983bee229ce045d8d735dd0c06e62e2c4ed992c31592d8c185ac674ba3,27138,1176,2026-04-13 06:45:07
/tmp/catalyst-output/seed_perm17_019.png,27138,7.9873,7322474b1c366d556e8da3e9c6500ba472922fb1a777c63076ea4ab00aeb236c,,,2026-04-13 06:45:07
