output_path,output_size,output_entropy,output_sha256,input_size,size_delta,timestamp
/tmp/catalyst-output/seed_icc_perm01_DCI(P3) RGB_001.png,14540,7.9778,ea0672c34dc610afe7291efd44ef1bfd8c38cf930893f6d82d8c58510e0bb394,13574,966,2026-05-18 07:20:48
/tmp/catalyst-output/seed_perm01_001.png,13574,7.9787,046c6f15075e6d3a8926ebbfb5c7f8d69cfe73eef4aa40e61067fd101d744a80,,,2026-05-18 07:20:48
/tmp/catalyst-output/seed_icc_perm03_ACESCG Linear_002.png,58407,7.9931,06425607e6855ebd9c16d7116b3d1c36061d0d8981b58d09abd594e799354e66,53949,4458,2026-05-18 07:20:48
/tmp/catalyst-output/seed_perm03_002.png,53949,7.9933,d19df4ee48774a4345d02554678a984b9969170734e8ed62c1c9bf3b86f5cbe0,,,2026-05-18 07:20:49
/tmp/catalyst-output/seed_icc_perm04_Generic CMYK Profile_003.png,215498,7.9952,1dea09d4913c5841af9c2d2288ca4cdc1530eaa40a543ac6c8f838a0f5c638f1,215486,12,2026-05-18 07:20:49
/tmp/catalyst-output/seed_perm04_003.png,215486,7.9952,938c7d02b0687de380495f7dac06d28bb109f738fe379639f52148aa58668773,,,2026-05-18 07:20:49
/tmp/catalyst-output/seed_icc_perm06_ITU-709_004.png,66313,7.9944,66ce8a0537d7782e5a7e4f3414efd8017c3de3c2267e050c160f57878f7805ed,66063,250,2026-05-18 07:20:49
/tmp/catalyst-output/seed_perm06_004.png,66063,7.9940,ef04afc7d35c079a053ebe553221f2fac0322badf329f4d385b3c97b3d8517a3,,,2026-05-18 07:20:50
/tmp/catalyst-output/seed_icc_perm07_Generic RGB Profile_005.png,67268,7.9930,32d348bca5a8bf57af2b3af541831a89a52cb83b546cf2c2356e21b87e8d2055,65871,1397,2026-05-18 07:20:50
/tmp/catalyst-output/seed_perm07_005.png,65871,7.9942,a1d62a63251076707ece73c80b302b0ec7d4bb1dabdb0ec7fb004d849b9fd033,,,2026-05-18 07:20:50
/tmp/catalyst-output/seed_icc_perm08_ITU-2020_006.png,4176,7.9272,50848f0d9fd9561286089288e102e78b081763583c9bc20231a7674ca2faebca,3460,716,2026-05-18 07:20:50
/tmp/catalyst-output/seed_perm08_006.png,3460,7.9175,38943030ca0522892762a14d64493dab6bb46848ad1b407e6ffef702db29f993,,,2026-05-18 07:20:50
/tmp/catalyst-output/seed_icc_perm09_sRGB Profile_007.png,861949,7.9957,b054d012143b81852ab43c24a8cf92b6af67fea966c2a1e4a127880b601854bc,861937,12,2026-05-18 07:20:50
/tmp/catalyst-output/seed_perm09_007.png,861937,7.9957,d5ae5a35bf03e049396f4d59fb95fbff3ef1e70d00bc355837bce3a69047263e,,,2026-05-18 07:20:53
/tmp/catalyst-output/seed_icc_perm10_Generic Gray Profile_008.png,31694,7.9895,af9726253aff9215f8ea908ed52f2ab5e3bdc93f6b6de669168553e66e17f4f7,31682,12,2026-05-18 07:20:53
/tmp/catalyst-output/seed_perm10_008.png,31682,7.9896,b23a39c8baf0ae9d26d1a44b3d056ad4efafd38fc02ce86fdecb3a8b125ec981,,,2026-05-18 07:20:53
/tmp/catalyst-output/seed_icc_perm11_Generic Gray Gamma 2.2 Profile_009.png,84274,7.9945,7be8e831d19eec44a27e0d5fcb51a340dacf4c0a18899da09bcea048939aaefb,84262,12,2026-05-18 07:20:53
/tmp/catalyst-output/seed_perm11_009.png,84262,7.9945,d107d8b4fdfe450d91ce073ab27ce4eb7dc56286801ca0148bc2fd37b50f9c77,,,2026-05-18 07:20:54
/tmp/catalyst-output/seed_icc_perm12_ROMM RGB_010.png,32833,7.9888,6258907d5a0b3baf7db22a95a7c5cdb7754692c1455ab6a783e53aa1e8a61549,30441,2392,2026-05-18 07:20:54
/tmp/catalyst-output/seed_perm12_010.png,30441,7.9896,66e8b48bfe9d289e3345bf975730a305a572d9ee185d9c58c68da4737a8d10d7,,,2026-05-18 07:20:54
/tmp/catalyst-output/seed_icc_perm01_Generic Lab Profile_011.png,1071,7.6348,86be951703a87f0c108dcf27833e1dc8d08bc5c52fd29e7973900d4561a0083d,1059,12,2026-05-18 07:20:54
/tmp/catalyst-output/seed_perm01_011.png,1059,7.6638,30661c59c52897c19a4a35d086f65fdfd8444ae29d8bc1c2aacfd28cced86eb9,,,2026-05-18 07:20:54
/tmp/catalyst-output/seed_icc_perm05_Generic XYZ Profile_012.png,2063,7.8165,63c2f70673e909511afa622bee379314c03a6995f90c77ba0355c3e48102e7c7,2051,12,2026-05-18 07:20:54
/tmp/catalyst-output/seed_perm05_012.png,2051,7.8258,0ee82ce7a5ff1bf24601276b880468d28fd399069cf70644e6ec22ff7ff31f70,,,2026-05-18 07:20:54
/tmp/catalyst-output/seed_icc_perm02_AdobeRGB1998_013.png,2293,7.8405,066c54241c740ca5a3c13e756478efc3dac8d187bcc57a31ac1c981cbfa1f849,1895,398,2026-05-18 07:20:54
/tmp/catalyst-output/seed_perm02_013.png,1895,7.8221,6673b5e15c63afbe715844b4a4a2796da8372b7161cfd872ff4e55b822f1bfd1,,,2026-05-18 07:20:54
/tmp/catalyst-output/seed_icc_perm04_Display P3_014.png,2362,7.8649,c8afbda2818da3e7f4cfd740a94b621af670850ee4e1a9f2c741e95569287ea6,1846,516,2026-05-18 07:20:54
/tmp/catalyst-output/seed_perm04_014.png,1846,7.8236,aab4e5bfe9a077b59283eea2bc4adb978fde94fbf33c3152ff2392142df34b66,,,2026-05-18 07:20:54
/tmp/catalyst-output/seed_icc_perm13_DCI(P3) RGB_015.png,8445,7.9634,27da6e38a897bed73410b99cbf1fbff7d08dd27a9655142058ba57da13b8cbd3,7637,808,2026-05-18 07:20:54
/tmp/catalyst-output/seed_perm13_015.png,7637,7.9672,268c032feb1e20ada9d70748dc8b45a582761941caf6e9b4caf9f5f05ade852d,,,2026-05-18 07:20:54
/tmp/catalyst-output/seed_icc_perm14_ACESCG Linear_016.png,7872,7.9617,80290a3a98b4ada5c2b61da1a0dcd95c8a349e3f499167b8460c6eab078ea1b6,6848,1024,2026-05-18 07:20:54
/tmp/catalyst-output/seed_perm14_016.png,6848,7.9669,817bee238aa5f9eabc70d281dbccb689116c4c83586baaf4576ed9626d9645f7,,,2026-05-18 07:20:54
/tmp/catalyst-output/seed_icc_perm15_Generic CMYK Profile_017.png,6830,7.9640,4c26f5dca9ea228414b82e5cd3a87a163c383b31696f38065fad1a1501ea97c6,6818,12,2026-05-18 07:20:54
/tmp/catalyst-output/seed_perm15_017.png,6818,7.9655,1b80c56e4ac5eb7c32d98a1ab2cc1450de17bdcedb2c3c6f7a43893b2638f580,,,2026-05-18 07:20:54
/tmp/catalyst-output/seed_icc_perm16_ITU-709_018.png,27317,7.9890,2e0264b7259053780ebc9d94e6661787d55ee79a23132fd10c2cbcbcc19b10c0,26991,326,2026-05-18 07:20:54
/tmp/catalyst-output/seed_perm16_018.png,26991,7.9892,d4d0e6ffa26f78d147d96d1d8ef56a1feeb204afcd313be60ae7b8b30e8b248e,,,2026-05-18 07:20:54
/tmp/catalyst-output/seed_icc_perm17_Generic RGB Profile_019.png,28329,7.9878,92f36a979653f9ddf7fe905c3385fa59ad5bc58e74f3caf08a24816436742688,27132,1197,2026-05-18 07:20:54
/tmp/catalyst-output/seed_perm17_019.png,27132,7.9898,8bfcadc5b5ed0c8ba0a2c540f6d31926710ea202c29e76a73ec988ddc3927c4b,,,2026-05-18 07:20:54
