output_path,output_size,output_entropy,output_sha256,input_size,size_delta,timestamp
/tmp/catalyst-output/seed_icc_perm01_DCI(P3) RGB_001.png,14620,7.9738,25381347d7b3e67d614c99a5dcc16fc4bf2caffbbc2366d0ff3bdadef17c6b10,13651,969,2026-05-11 07:09:53
/tmp/catalyst-output/seed_perm01_001.png,13651,7.9792,a1ed9dcee5271becfa6a285e5dabb35722d7c83cd72eb019abb04c3d31f4a153,,,2026-05-11 07:09:53
/tmp/catalyst-output/seed_icc_perm03_ACESCG Linear_002.png,58439,7.9922,0ab018650b13f8331a15ac8e36c1f17247fd5e99343047cf8dbd1f54712dd880,54091,4348,2026-05-11 07:09:53
/tmp/catalyst-output/seed_perm03_002.png,54091,7.9909,fcc56c45ec1c083ea113361c2676626a83d2b396aa227a211c920cbf8bcd6892,,,2026-05-11 07:09:53
/tmp/catalyst-output/seed_icc_perm04_Generic CMYK Profile_003.png,215623,7.9956,324258b31cf63e9a205f0644ff1a3124d50641a93d7ee0e6d88d771ae00523ed,215611,12,2026-05-11 07:09:53
/tmp/catalyst-output/seed_perm04_003.png,215611,7.9956,c343d8c5f7500f5a2c7d3b68f87ae63f5cc8f2e66f6ef459b3355312b793abc1,,,2026-05-11 07:09:53
/tmp/catalyst-output/seed_icc_perm06_ITU-709_004.png,66019,7.9947,2f8ebc652f8c627da472b05dfff3d82eae436ec332c86aad90a41dc8cb14973a,65793,226,2026-05-11 07:09:53
/tmp/catalyst-output/seed_perm06_004.png,65793,7.9943,8af51190e02098542280aebe8d4e19c4f68b87e2d6a8553365f4c1a90fb7364b,,,2026-05-11 07:09:54
/tmp/catalyst-output/seed_icc_perm07_Generic RGB Profile_005.png,67075,7.9942,328f1e6d5463ecb777b345347a1ea2209875ccf95bcf49ae5fe46900b1e67cf4,65671,1404,2026-05-11 07:09:54
/tmp/catalyst-output/seed_perm07_005.png,65671,7.9937,63c852f939f7fb36b7bde9fe103d309cc0eac235c0805062a3590bfb5d56d2ff,,,2026-05-11 07:09:54
/tmp/catalyst-output/seed_icc_perm08_ITU-2020_006.png,4183,7.9318,9d034220585cb57bc87c2fd6ab39f32fe951eff3842c3166d687b4003e366e1f,3499,684,2026-05-11 07:09:54
/tmp/catalyst-output/seed_perm08_006.png,3499,7.9208,edde59c9da704966601fdb36d68a7a99ff095b827bc656fbe9d8fb756a4900d3,,,2026-05-11 07:09:54
/tmp/catalyst-output/seed_icc_perm09_sRGB Profile_007.png,861800,7.9956,8fa41daa9d3cc8889f3195b07b260dddd3a29d07096df50b31f2b80a9b796611,861788,12,2026-05-11 07:09:54
/tmp/catalyst-output/seed_perm09_007.png,861788,7.9956,7958f2837d2050e32546d0197e1784475e3d72f109fb6d1b0af3f8c8039fa0d3,,,2026-05-11 07:09:56
/tmp/catalyst-output/seed_icc_perm10_Generic Gray Profile_008.png,31800,7.9892,9e98c533e6ec4a1d6e85ef9a3d77995f34e3775b24602c08da284c8239b93eae,31788,12,2026-05-11 07:09:56
