output_path,output_size,output_entropy,output_sha256,input_size,size_delta,timestamp
/tmp/catalyst-output/seed_icc_perm01_DCI(P3) RGB_001.png,14600,7.9763,141aa85be5390911b43d2348514a688ce1a048d43da5e68963c737a6d3d1c3a2,13607,993,2026-03-30 06:36:23
/tmp/catalyst-output/seed_perm01_001.png,13607,7.9782,936c6e740f1a6c79596b91afa0829bc5efc2a30102ad82fc3d18bf6befc47b76,,,2026-03-30 06:36:23
/tmp/catalyst-output/seed_icc_perm03_ACESCG Linear_002.png,58559,7.9920,10b44192d421c998416ac3c8ec5984d839fbdf6147f3ec02d4d77a202303066c,54082,4477,2026-03-30 06:36:23
/tmp/catalyst-output/seed_perm03_002.png,54082,7.9934,de4ec78455af4b77be6959dc2c1fd99761108d71d29b5b1509542b5754f8588a,,,2026-03-30 06:36:23
/tmp/catalyst-output/seed_icc_perm04_Generic CMYK Profile_003.png,215315,7.9951,650c8e17b18cfd5d9b5255452848b34bed03639dbba3f3cbfeb534d43f8e484f,215303,12,2026-03-30 06:36:23
/tmp/catalyst-output/seed_perm04_003.png,215303,7.9952,b94521ebeb2728264cf9f9e4fa18f86779e7d8cd7edc922259c8fda57e1cc709,,,2026-03-30 06:36:24
/tmp/catalyst-output/seed_icc_perm06_ITU-709_004.png,66179,7.9943,4220c04411366a9acf8a2837fcfa24e7dcdad51d0839f36da7a66b97a025186c,65939,240,2026-03-30 06:36:24
/tmp/catalyst-output/seed_perm06_004.png,65939,7.9933,75679f076df94c42ebdbb41f2687ccd13f4337fe41103c0a0f653146440d0a59,,,2026-03-30 06:36:24
/tmp/catalyst-output/seed_icc_perm07_Generic RGB Profile_005.png,67277,7.9925,01b179ff174fc113c95ad60bcaa4916cb0f970e785e42c8c0c0f4898e5387759,65834,1443,2026-03-30 06:36:24
/tmp/catalyst-output/seed_perm07_005.png,65834,7.9942,baf2823ba01911ce542525488abee288baa93ddb41ba4e0609728840f38c31c7,,,2026-03-30 06:36:24
/tmp/catalyst-output/seed_icc_perm08_ITU-2020_006.png,4146,7.9340,7843e0bce616fff59995a798be589a92ecb21dabb3e557a6997a13d4bae47c7c,3517,629,2026-03-30 06:36:24
/tmp/catalyst-output/seed_perm08_006.png,3517,7.9185,61ef5b6236fbb7cbff20e98f41c689e01e617ce287e2314a444f8eab5dfee3cf,,,2026-03-30 06:36:24
/tmp/catalyst-output/seed_icc_perm09_sRGB Profile_007.png,862310,7.9955,dbebd2f4329536d706fce8358e725542f649a491cdc73869b391e722f51106ea,862298,12,2026-03-30 06:36:24
/tmp/catalyst-output/seed_perm09_007.png,862298,7.9955,935c931727a0090c739a23457e473dccc06b2a1d50a28140a31fc417318d7072,,,2026-03-30 06:36:26
/tmp/catalyst-output/seed_icc_perm10_Generic Gray Profile_008.png,31801,7.9891,8b28c05506eb9fc8ceefc3784dc5f05ed53c0bdb475f6dd417603532c7ba1ddd,31789,12,2026-03-30 06:36:26
/tmp/catalyst-output/seed_perm10_008.png,31789,7.9891,8338415a07ceddc470d9200ba2dbaf060254e23b2afba69b6b5b2e363dd502cb,,,2026-03-30 06:36:26
/tmp/catalyst-output/seed_icc_perm11_Generic Gray Gamma 2.2 Profile_009.png,84317,7.9949,f55c4b5c85b37e578b11ea4ab3bb5ddbf9b1e507d70f338419ed530015f4517c,84305,12,2026-03-30 06:36:26
/tmp/catalyst-output/seed_perm11_009.png,84305,7.9949,45d2bdd8ef526d6b9922afc762426006e1ea9a3add7a7b5d3aaccecb988ed362,,,2026-03-30 06:36:26
/tmp/catalyst-output/seed_icc_perm12_ROMM RGB_010.png,32817,7.9895,0a570addb99d7ec233878ebe81874a561b4838b589f9c6262b8a8843d9075288,30457,2360,2026-03-30 06:36:26
/tmp/catalyst-output/seed_perm12_010.png,30457,7.9892,ead7afc03473b5e1749d81061c3bc7feccf54568c2c52a2e7f962bb3ac8565ed,,,2026-03-30 06:36:26
/tmp/catalyst-output/seed_icc_perm01_Generic Lab Profile_011.png,1039,7.6167,78eb6ca7c063b0c881bd54db00a0f180cc9e89d403059fa5b1cd0e03509c8fa6,1027,12,2026-03-30 06:36:26
/tmp/catalyst-output/seed_perm01_011.png,1027,7.6453,fe41e3de5bee967a85fdaa4442b626b0d38aad67e43dadf699849f922019527d,,,2026-03-30 06:36:26
/tmp/catalyst-output/seed_icc_perm05_Generic XYZ Profile_012.png,2077,7.8381,e846bb176579ecef0e0cc007aa30f24b3f171acf089c8d7d1e1ab2659f9c3c32,2065,12,2026-03-30 06:36:26
/tmp/catalyst-output/seed_perm05_012.png,2065,7.8475,e0df13fb984f0c6f7d8b6bde76fe23a16dd5d418e81cc649d1c179c48ad51797,,,2026-03-30 06:36:26
/tmp/catalyst-output/seed_icc_perm02_AdobeRGB1998_013.png,2256,7.8272,aa4fe5ace08fe0a6fc0530c3025ecd7fa0ad3a5071dbecda1ac1fc01f002df48,1853,403,2026-03-30 06:36:26
/tmp/catalyst-output/seed_perm02_013.png,1853,7.8281,b9e366eca2e2b0e523506afe6f0cf3fb079bf3d0956b0b28ddd7bfb718f86d90,,,2026-03-30 06:36:26
/tmp/catalyst-output/seed_icc_perm04_Display P3_014.png,2368,7.8770,f2e731e3f5a011f8f91756986b4863573cbe5d928e2ded85e89bd47477d5f2de,1853,515,2026-03-30 06:36:26
/tmp/catalyst-output/seed_perm04_014.png,1853,7.8298,1ea0376db194ae5af1ea1f966b67ed5690f7c85f36e1bdc16abf479f305b8bcc,,,2026-03-30 06:36:26
/tmp/catalyst-output/seed_icc_perm13_DCI(P3) RGB_015.png,8518,7.9610,b6b5b4e7b7cdc823f9fd273f22401c2c6c85beba4c2768f3cce80534fe31132e,7739,779,2026-03-30 06:36:26
/tmp/catalyst-output/seed_perm13_015.png,7739,7.9669,2e1855babaa132fe5985e3a9f023ca9079e3b3eed343294dc4ab6c33dc9a8629,,,2026-03-30 06:36:26
/tmp/catalyst-output/seed_icc_perm14_ACESCG Linear_016.png,7866,7.9629,0b53d7b1d34fe806265e9d6abdde96bfa26d5d67d167801689e255acc9a354d3,6864,1002,2026-03-30 06:36:26
/tmp/catalyst-output/seed_perm14_016.png,6864,7.9662,1ef629f47f798a152b2c15b910a76b246964dd557c1d774086a25be43739d226,,,2026-03-30 06:36:26
/tmp/catalyst-output/seed_icc_perm15_Generic CMYK Profile_017.png,6817,7.9547,aa53bd8c465e5a2b77df9d2040890de823c92425ef7c7f506f1eaabccdf44248,6805,12,2026-03-30 06:36:26
/tmp/catalyst-output/seed_perm15_017.png,6805,7.9562,8075cea84473dd611a4ff758379e48641c0527bc32d015a695fdb28bf21769e8,,,2026-03-30 06:36:26
/tmp/catalyst-output/seed_icc_perm16_ITU-709_018.png,27508,7.9898,7d78d4919e810db2eea611a1971e8d2505f17a00653e9c28c6084629d8b0c168,27167,341,2026-03-30 06:36:26
/tmp/catalyst-output/seed_perm16_018.png,27167,7.9871,dbf3bdfd20a8dc833a5d6204db405808d05f1c78aa5e85c469ac3bae3c5175aa,,,2026-03-30 06:36:26
/tmp/catalyst-output/seed_icc_perm17_Generic RGB Profile_019.png,28262,7.9896,e3416cff3a7e92e9c7cb528c507acfafa42336b26ed305214fcf4cf4df3f46e3,27037,1225,2026-03-30 06:36:26
/tmp/catalyst-output/seed_perm17_019.png,27037,7.9894,eb2aefe327a8a5e8724513f16c6ee55a8a090c3cb2734de5aad368c8678790db,,,2026-03-30 06:36:26
