output_path,output_size,output_entropy,output_sha256,input_size,size_delta,timestamp
/tmp/catalyst-output/seed_icc_perm01_DCI(P3) RGB_001.png,14500,7.9743,9e817aa47601063d24d0ea12a3027f1b442f8fcbaeae9a25d350afdf437fb8bf,13515,985,2026-03-08 19:41:19
/tmp/catalyst-output/seed_perm01_001.png,13515,7.9770,bce6d5913cdfb7fbbd21b14670d94741d97c9df7bd5a38a286ade352669f59a6,,,2026-03-08 19:41:19
/tmp/catalyst-output/seed_icc_perm03_ACESCG Linear_002.png,58411,7.9912,09a450540017cd5a4e267d2af1e98372a3c41619b26469d81ee2c98ba5d3f211,53970,4441,2026-03-08 19:41:19
/tmp/catalyst-output/seed_perm03_002.png,53970,7.9929,2385abc5ed874c8743e50c9dfc1309499787b4ea6828baae9cee47794bdafeeb,,,2026-03-08 19:41:19
/tmp/catalyst-output/seed_icc_perm04_Generic CMYK Profile_003.png,215571,7.9956,469c6daee51a8cdff16e93e42fc4d7dc25b35dfc8641a5e4e77f3d22d7d3488a,215559,12,2026-03-08 19:41:19
/tmp/catalyst-output/seed_perm04_003.png,215559,7.9956,d3b66cbed0cb3efaaa39e5d5662bd9171bce461383e04b2e86bcef7d80590a37,,,2026-03-08 19:41:19
/tmp/catalyst-output/seed_icc_perm06_ITU-709_004.png,66190,7.9950,ccfd4a9b1e4595292c1bad7c1c23a6e4266e31f73a7577dd2b7d22d37c97566e,65976,214,2026-03-08 19:41:19
/tmp/catalyst-output/seed_perm06_004.png,65976,7.9939,95500768f31c7703a052c1121f4bcadb0c5b4f68e5c3ee33a7d4994926e3691d,,,2026-03-08 19:41:20
/tmp/catalyst-output/seed_icc_perm07_Generic RGB Profile_005.png,67455,7.9928,d0cd34a200b0779b978e579dfe760e58ddffa5ac122dd6f5e927bcb678ece175,65973,1482,2026-03-08 19:41:20
/tmp/catalyst-output/seed_perm07_005.png,65973,7.9936,dffe8d658149b6c58dde797b11172b9990b39ee1f2f8e45279db46bb7693d81d,,,2026-03-08 19:41:20
/tmp/catalyst-output/seed_icc_perm08_ITU-2020_006.png,4220,7.9317,2cc80cd117c55fcf53dbb6917aeb5c53388a8c5c7aa0fc2a3497c69642f7824d,3532,688,2026-03-08 19:41:20
/tmp/catalyst-output/seed_perm08_006.png,3532,7.9178,add97e7f78be5d5e268e6ee7476432d14568e65b30734ecdf4b2ab96d668873f,,,2026-03-08 19:41:20
/tmp/catalyst-output/seed_icc_perm09_sRGB Profile_007.png,861663,7.9957,fcca5153a1bfae771df7e917616d997cfd630760acab4b9a69be3d0afe553280,861651,12,2026-03-08 19:41:20
/tmp/catalyst-output/seed_perm09_007.png,861651,7.9957,0ecd679be6b0b884ec3614827788e05cb7998d2dc2e2c0725665a1545147b556,,,2026-03-08 19:41:21
/tmp/catalyst-output/seed_icc_perm10_Generic Gray Profile_008.png,31729,7.9902,fb700480dee15dd6804d10ac4c0fe914734d93c29e2f6679dbdad7ac7f021d38,31717,12,2026-03-08 19:41:21
/tmp/catalyst-output/seed_perm10_008.png,31717,7.9903,353330190f2c9043565976a5cec52bb058fe83d9876f2bdf23f7bffea8b0f1c0,,,2026-03-08 19:41:22
/tmp/catalyst-output/seed_icc_perm11_Generic Gray Gamma 2.2 Profile_009.png,84111,7.9946,03d28bfe0e9b2f701676cc8e6f215024e8bfc07ab2dfd04a4f9500595fdfefce,84099,12,2026-03-08 19:41:22
/tmp/catalyst-output/seed_perm11_009.png,84099,7.9946,b578ec7762baafd33891791a7391783490843a647d1af42e840efbecca4941b1,,,2026-03-08 19:41:22
/tmp/catalyst-output/seed_icc_perm12_ROMM RGB_010.png,32880,7.9887,9a3b501abfdb1eb3fd3c7a107af9631b2cf9ea77bbfefd649615c99a2cdc258c,30434,2446,2026-03-08 19:41:22
/tmp/catalyst-output/seed_perm12_010.png,30434,7.9873,75a615da654b4cad88342c37d6a0b10a63fceb35ad71ac7aa819e97f25227a72,,,2026-03-08 19:41:22
